location,Chennai,Chennai
lat,13.06744,13.06744
lon,80.25395,80.25395
asl,8.800,8.800
variable,Temperature,Mean Sea Level Pressure
unit,Â°C,hPa
level,2 m elevation corrected,MSL
resolution,hourly,hourly
aggregation,None,None
timestamp,Chennai Temperature [2 m elevation corrected],Chennai Mean Sea Level Pressure [MSL]
20200906T0000,28.0762,1007.0
20200906T0100,27.7262,1006.2
20200906T0200,27.7762,1005.7
20200906T0300,27.4362,1005.5
20200906T0400,27.2362,1005.9
20200906T0500,27.4062,1006.1
20200906T0600,27.5662,1006.4
20200906T0700,28.0762,1007.2
20200906T0800,29.4162,1007.8
20200906T0900,30.6062,1008.3
20200906T1000,31.5562,1007.9
20200906T1100,31.7462,1007.3
20200906T1200,31.5662,1006.8
20200906T1300,30.4362,1005.6
20200906T1400,30.1062,1005.1
20200906T1500,29.5862,1004.8
20200906T1600,29.0562,1005.3
20200906T1700,29.9962,1005.1
20200906T1800,29.0762,1005.6
20200906T1900,28.5662,1006.3
20200906T2000,28.2962,1006.9
20200906T2100,28.2162,1007.5
20200906T2200,28.0562,1007.5
20200906T2300,27.8762,1007.4
20200907T0000,27.8162,1007.1
20200907T0100,27.5662,1006.2
20200907T0200,27.4462,1005.7
20200907T0300,27.2462,1005.3
20200907T0400,27.0762,1005.8
20200907T0500,26.8962,1006.1
20200907T0600,26.9062,1006.4
20200907T0700,28.4962,1007.2
20200907T0800,30.5262,1007.8
20200907T0900,31.2062,1008.4
20200907T1000,31.2862,1008.2
20200907T1100,30.7462,1007.8
20200907T1200,30.2562,1007.4
20200907T1300,29.9762,1006.7
20200907T1400,28.7062,1005.6
20200907T1500,29.1262,1004.6
20200907T1600,30.2562,1005.2
20200907T1700,31.8262,1005.0
20200907T1800,30.8262,1005.7
20200907T1900,30.0862,1006.6
20200907T2000,29.2962,1007.1
20200907T2100,28.6262,1008.0
20200907T2200,28.2662,1007.9
20200907T2300,27.9962,1007.4
20200908T0000,27.7762,1006.9
20200908T0100,27.4762,1006.0
20200908T0200,27.3762,1005.6
20200908T0300,26.9062,1005.2
20200908T0400,26.6962,1005.7
20200908T0500,26.346199,1006.1
20200908T0600,26.6162,1006.4
20200908T0700,28.3062,1006.8
20200908T0800,30.0562,1007.3
20200908T0900,31.6962,1007.8
20200908T1000,31.7762,1007.8
20200908T1100,31.2162,1007.8
20200908T1200,30.6362,1007.6
20200908T1300,30.1362,1006.7
20200908T1400,29.7762,1005.8
20200908T1500,30.2762,1005.2
20200908T1600,29.9362,1005.4
20200908T1700,29.6062,1005.8
20200908T1800,29.0062,1005.9
20200908T1900,28.8962,1006.7
20200908T2000,28.9362,1007.1
20200908T2100,28.9962,1007.6
20200908T2200,28.7462,1007.7
20200908T2300,28.4662,1007.6
20200909T0000,28.2162,1007.3
20200909T0100,27.9162,1006.4
20200909T0200,27.7262,1005.9
20200909T0300,27.7262,1005.8
20200909T0400,27.596199,1006.4
20200909T0500,27.3162,1006.7
20200909T0600,27.3562,1006.7
20200909T0700,28.2462,1007.0
20200909T0800,29.9362,1007.2
20200909T0900,30.9662,1007.5
20200909T1000,30.2662,1007.6
20200909T1100,29.7562,1007.3
20200909T1200,31.0462,1006.7
20200909T1300,30.4962,1005.1
20200909T1400,29.7062,1004.2
20200909T1500,29.6362,1003.9
20200909T1600,29.0862,1004.2
20200909T1700,28.5662,1004.7
20200909T1800,28.3962,1005.0
20200909T1900,28.5562,1005.7
20200909T2000,28.676199,1005.8
20200909T2100,28.9162,1006.2
20200909T2200,28.676199,1006.0
20200909T2300,28.3962,1005.5
20200910T0000,28.0762,1005.2
20200910T0100,27.846199,1004.4
20200910T0200,27.3862,1004.1
20200910T0300,26.8362,1003.7
20200910T0400,26.4162,1003.9
20200910T0500,26.0762,1004.2
20200910T0600,26.1962,1004.2
20200910T0700,27.0062,1004.8
20200910T0800,29.4762,1005.0
20200910T0900,31.8062,1005.3
20200910T1000,32.296204,1004.9
20200910T1100,32.866203,1004.4
20200910T1200,33.616203,1003.7
20200910T1300,32.7162,1002.4
20200910T1400,31.4662,1001.7
20200910T1500,31.2562,1001.1
20200910T1600,30.3862,1001.8
20200910T1700,29.5062,1002.5
20200910T1800,29.3062,1002.9
20200910T1900,29.2862,1003.9
20200910T2000,29.1162,1004.4
20200910T2100,28.9062,1005.1
20200910T2200,28.7662,1004.9
20200910T2300,28.7162,1004.7
20200911T0000,28.4162,1004.5
20200911T0100,28.0562,1004.0
20200911T0200,27.7462,1004.0
20200911T0300,27.2862,1003.9
20200911T0400,26.7262,1004.4
20200911T0500,26.2362,1004.8
20200911T0600,26.2962,1004.8
20200911T0700,27.6062,1005.4
20200911T0800,29.7462,1005.7
20200911T0900,32.0362,1005.8
20200911T1000,32.616203,1005.4
20200911T1100,33.0662,1004.7
20200911T1200,33.186203,1004.2
20200911T1300,32.736202,1003.2
20200911T1400,32.2462,1002.7
20200911T1500,31.2962,1002.3
20200911T1600,30.8162,1002.9
20200911T1700,30.6962,1003.7
20200911T1800,29.9662,1004.3
20200911T1900,29.346199,1005.1
20200911T2000,29.1562,1005.6
20200911T2100,29.0262,1006.6
20200911T2200,28.7162,1006.8
20200911T2300,28.4962,1006.6
20200912T0000,28.3162,1006.5
20200912T0100,28.1362,1005.5
20200912T0200,28.1362,1005.2
20200912T0300,27.9862,1005.2
20200912T0400,27.596199,1006.2
20200912T0500,27.2362,1006.7
20200912T0600,27.2062,1007.0
20200912T0700,27.4462,1007.8
20200912T0800,28.2762,1008.3
20200912T0900,30.1962,1008.7
20200912T1000,32.576202,1007.8
20200912T1100,32.236202,1007.2
20200912T1200,31.5062,1007.0
20200912T1300,30.9862,1006.0
20200912T1400,30.1062,1005.4
20200912T1500,29.846199,1004.9
20200912T1600,29.6462,1005.2
20200912T1700,29.9362,1005.7
20200912T1800,29.0762,1006.1
20200912T1900,28.5862,1006.8
20200912T2000,28.2962,1007.6
20200912T2100,27.9862,1008.2
20200912T2200,26.8662,1007.9
20200912T2300,25.6162,1007.1
20200913T0000,25.176199,1006.5
20200913T0100,24.7762,1006.1
20200913T0200,24.8162,1006.0
20200913T0300,24.7962,1005.7
20200913T0400,24.6362,1006.5
20200913T0500,24.0862,1006.9
20200913T0600,24.2062,1007.2
20200913T0700,25.1562,1008.1
20200913T0800,26.0862,1008.6
20200913T0900,26.596199,1008.8
20200913T1000,26.4462,1008.6
20200913T1100,26.6062,1008.1
20200913T1200,27.3062,1007.4
20200913T1300,27.6162,1006.0
20200913T1400,27.9962,1005.2
20200913T1500,28.6262,1004.6
20200913T1600,28.9662,1005.3
20200913T1700,28.6562,1005.8
20200913T1800,28.1162,1006.4
20200913T1900,26.9062,1007.3
20200913T2000,25.7462,1007.7
20200913T2100,25.2462,1007.8
20200913T2200,25.2262,1007.5
20200913T2300,25.2562,1006.9