location,Kolkata,Kolkata
lat,22.52747,22.52747
lon,88.37216,88.37216
asl,8.600,8.600
variable,Temperature,Mean Sea Level Pressure
unit,Â°C,hPa
level,2 m elevation corrected,MSL
resolution,hourly,hourly
aggregation,None,None
timestamp,Kolkata Temperature [2 m elevation corrected],Kolkata Mean Sea Level Pressure [MSL]
20200906T0000,28.0744,1005.1
20200906T0100,27.9744,1004.9
20200906T0200,28.2044,1004.6
20200906T0300,28.2444,1004.6
20200906T0400,28.3044,1004.8
20200906T0500,28.2344,1005.1
20200906T0600,28.7044,1005.5
20200906T0700,29.784399,1005.9
20200906T0800,31.034399,1006.4
20200906T0900,30.0844,1006.6
20200906T1000,31.9744,1006.3
20200906T1100,33.3244,1005.7
20200906T1200,34.024403,1004.8
20200906T1300,34.3744,1003.8
20200906T1400,34.504402,1002.8
20200906T1500,34.224403,1002.5
20200906T1600,33.4444,1002.8
20200906T1700,31.2444,1003.6
20200906T1800,30.2744,1004.5
20200906T1900,29.3844,1005.3
20200906T2000,28.8844,1006.2
20200906T2100,28.6244,1006.4
20200906T2200,28.4344,1006.3
20200906T2300,28.2744,1006.0
20200907T0000,28.1844,1005.7
20200907T0100,28.4244,1005.5
20200907T0200,28.4644,1005.1
20200907T0300,28.3544,1005.1
20200907T0400,27.9644,1005.4
20200907T0500,27.8044,1005.7
20200907T0600,28.6444,1006.1
20200907T0700,29.8844,1006.3
20200907T0800,31.2144,1006.6
20200907T0900,30.8344,1006.5
20200907T1000,31.694399,1006.4
20200907T1100,31.7344,1006.0
20200907T1200,32.914402,1005.1
20200907T1300,33.6944,1004.2
20200907T1400,33.8944,1003.4
20200907T1500,33.9944,1003.1
20200907T1600,33.3244,1003.2
20200907T1700,30.444399,1004.2
20200907T1800,29.5844,1004.9
20200907T1900,29.0744,1005.8
20200907T2000,28.694399,1006.3
20200907T2100,28.4544,1006.6
20200907T2200,28.194399,1006.3
20200907T2300,27.9744,1006.2
20200908T0000,27.8044,1005.9
20200908T0100,27.6244,1005.6
20200908T0200,27.4944,1005.1
20200908T0300,27.3744,1005.0
20200908T0400,27.2544,1005.2
20200908T0500,27.1444,1005.7
20200908T0600,28.284399,1006.0
20200908T0700,29.8244,1006.4
20200908T0800,31.2344,1006.9
20200908T0900,30.944399,1007.1
20200908T1000,31.444399,1006.7
20200908T1100,31.8444,1006.3
20200908T1200,31.9744,1005.7
20200908T1300,31.8744,1005.0
20200908T1400,31.9044,1004.0
20200908T1500,31.7344,1003.7
20200908T1600,31.3944,1004.0
20200908T1700,30.7544,1004.6
20200908T1800,29.9044,1005.3
20200908T1900,29.284399,1006.0
20200908T2000,28.8044,1006.4
20200908T2100,28.5044,1006.6
20200908T2200,28.2344,1006.8
20200908T2300,28.0044,1006.5
20200909T0000,27.8544,1006.2
20200909T0100,27.9544,1005.9
20200909T0200,28.114399,1005.7
20200909T0300,28.0044,1005.6
20200909T0400,27.9744,1005.8
20200909T0500,27.9544,1006.2
20200909T0600,28.6844,1006.2
20200909T0700,29.8944,1006.4
20200909T0800,30.3944,1007.0
20200909T0900,30.5644,1007.1
20200909T1000,30.8344,1006.5
20200909T1100,30.9644,1006.0
20200909T1200,30.864399,1005.2
20200909T1300,30.7644,1004.5
20200909T1400,30.5644,1003.6
20200909T1500,30.4644,1003.0
20200909T1600,30.114399,1002.9
20200909T1700,29.5544,1003.3
20200909T1800,29.114399,1003.7
20200909T1900,28.7744,1004.5
20200909T2000,28.5144,1005.0
20200909T2100,28.3344,1004.9
20200909T2200,28.0044,1004.7
20200909T2300,27.7444,1004.6
20200910T0000,27.534399,1004.4
20200910T0100,27.3744,1004.0
20200910T0200,27.2944,1003.4
20200910T0300,27.2544,1003.2
20200910T0400,27.1444,1003.2
20200910T0500,27.0144,1003.6
20200910T0600,28.2244,1004.0
20200910T0700,29.0844,1004.2
20200910T0800,29.864399,1004.2
20200910T0900,30.5544,1003.9
20200910T1000,30.944399,1003.9
20200910T1100,31.0944,1003.1
20200910T1200,31.2744,1002.3
20200910T1300,31.1844,1001.5
20200910T1400,30.6844,1000.7
20200910T1500,30.2244,1000.3
20200910T1600,30.0544,1000.4
20200910T1700,29.3444,1001.1
20200910T1800,29.0244,1002.0
20200910T1900,28.6644,1003.1
20200910T2000,28.2444,1004.0
20200910T2100,27.9244,1004.4
20200910T2200,27.5844,1004.4
20200910T2300,27.2944,1004.3
20200911T0000,27.0844,1004.1
20200911T0100,26.9344,1003.9
20200911T0200,26.7744,1003.4
20200911T0300,27.1744,1003.5
20200911T0400,27.3744,1003.8
20200911T0500,27.2444,1004.2
20200911T0600,28.1344,1004.5
20200911T0700,29.2544,1005.0
20200911T0800,30.7144,1005.2
20200911T0900,32.564404,1004.7
20200911T1000,33.5744,1004.4
20200911T1100,33.9044,1004.1
20200911T1200,34.1544,1003.3
20200911T1300,33.6244,1002.5
20200911T1400,33.5844,1001.8
20200911T1500,33.8244,1001.4
20200911T1600,32.8344,1001.9
20200911T1700,31.4244,1002.8
20200911T1800,30.3044,1003.8
20200911T1900,29.5644,1004.8
20200911T2000,29.1044,1005.7
20200911T2100,28.7444,1006.0
20200911T2200,28.4244,1006.3
20200911T2300,28.1244,1006.5
20200912T0000,27.8144,1006.5
20200912T0100,27.534399,1006.3
20200912T0200,27.284399,1005.9
20200912T0300,27.0944,1006.0
20200912T0400,26.9244,1006.3
20200912T0500,26.7644,1006.7
20200912T0600,28.034399,1006.9
20200912T0700,29.864399,1007.1
20200912T0800,31.3144,1007.5
20200912T0900,32.474403,1007.6
20200912T1000,33.204403,1007.3
20200912T1100,33.8044,1006.7
20200912T1200,34.1944,1005.8
20200912T1300,33.1744,1005.1
20200912T1400,32.614403,1004.4
20200912T1500,32.884403,1003.9
20200912T1600,32.454403,1004.0
20200912T1700,31.5644,1004.6
20200912T1800,30.5944,1005.1
20200912T1900,29.8044,1005.9
20200912T2000,29.2044,1006.7
20200912T2100,28.7544,1007.1
20200912T2200,28.3544,1007.3
20200912T2300,28.0444,1007.4
20200913T0000,27.7744,1007.0
20200913T0100,27.534399,1006.7
20200913T0200,27.3344,1006.2
20200913T0300,27.194399,1006.2
20200913T0400,27.0644,1006.4
20200913T0500,26.944399,1006.7
20200913T0600,28.0244,1007.1
20200913T0700,29.2244,1007.4
20200913T0800,30.3044,1007.8
20200913T0900,30.9944,1007.9
20200913T1000,30.7244,1007.5
20200913T1100,31.2044,1007.1
20200913T1200,31.8444,1006.4
20200913T1300,32.0844,1005.6
20200913T1400,32.294403,1004.7
20200913T1500,32.164402,1004.1
20200913T1600,31.6744,1004.2
20200913T1700,30.9744,1005.0
20200913T1800,30.194399,1006.0
20200913T1900,29.4844,1006.7
20200913T2000,28.8344,1007.2
20200913T2100,28.3044,1007.4
20200913T2200,27.9344,1007.4
20200913T2300,27.6544,1007.2